,image,label
208,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_58449856.jpg,happy
209,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_1184327.jpg,fear
210,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_20336575.jpg,sad
211,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_97184442.jpg,neutral
212,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_21378331.jpg,happy
213,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_71622537.jpg,happy
214,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_33133786.jpg,sad
215,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_98985023.jpg,fear
216,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_83315344.jpg,happy
217,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24304378.jpg,happy
218,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_63554506.jpg,neutral
219,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_64063278.jpg,happy
220,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_86017612.jpg,happy
221,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_1155391.jpg,happy
222,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_64214583.jpg,angry
223,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_85817568.jpg,sad
224,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_44313466.jpg,sad
225,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_94116368.jpg,angry
226,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_29880139.jpg,surprise
227,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_45732337.jpg,surprise
228,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_38886181.jpg,happy
229,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_51116713.jpg,sad
230,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_84012529.jpg,neutral
231,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_64154751.jpg,neutral
232,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_92031313.jpg,happy
233,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_31704314.jpg,happy
234,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_19773644.jpg,surprise
235,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_37609048.jpg,happy
236,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_67362379.jpg,neutral
237,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_25286867.jpg,happy
238,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_32459301.jpg,neutral
239,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_29408146.jpg,fear
240,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_50194022.jpg,happy
241,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_9911436.jpg,angry
242,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_38511701.jpg,sad
243,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_12198698.jpg,happy
244,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_92305561.jpg,sad
245,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_94884420.jpg,sad
246,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_57082286.jpg,sad
247,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_73136716.jpg,angry
248,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_97992040.jpg,angry
249,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_87819556.jpg,angry
250,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_86876143.jpg,angry
251,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_10834306.jpg,fear
252,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_46446331.jpg,fear
253,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_37611388.jpg,surprise
254,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_84318164.jpg,sad
255,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_62924316.jpg,happy
256,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_371241.jpg,happy
257,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_87915572.jpg,neutral
258,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_55586736.jpg,sad
259,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_18939452.jpg,fear
260,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_77041479.jpg,happy
261,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_6312930.jpg,happy
262,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_65338712.jpg,sad
263,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_52151309.jpg,neutral
264,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_31982935.jpg,fear
265,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_61705108.jpg,angry
266,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_45356615.jpg,sad
267,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_45884752.jpg,happy
268,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_66823441.jpg,angry
269,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_76587968.jpg,happy
270,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_55477697.jpg,fear
271,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_27057389.jpg,surprise
272,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_10810200.jpg,happy
273,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_40433185.jpg,happy
274,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_95561877.jpg,angry
275,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_28275568.jpg,angry
276,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_60568314.jpg,fear
277,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_26200977.jpg,sad
278,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_73990027.jpg,happy
279,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_95490099.jpg,sad
280,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_22674289.jpg,sad
281,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_63185132.jpg,neutral
282,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_10678201.jpg,neutral
283,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_62812771.jpg,sad
284,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_29885618.jpg,fear
285,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_11582824.jpg,happy
286,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_70292019.jpg,happy
287,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_4556453.jpg,neutral
288,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_73381335.jpg,angry
289,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_34028359.jpg,angry
290,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_98998460.jpg,happy
291,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_70380548.jpg,neutral
292,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_92982399.jpg,happy
293,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_81399691.jpg,angry
294,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_24231664.jpg,happy
295,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_38342575.jpg,happy
296,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_24030038.jpg,fear
297,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_79288953.jpg,surprise
298,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_98067663.jpg,angry
299,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_62566831.jpg,happy
300,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_35385824.jpg,happy
301,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_31510514.jpg,sad
302,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_91769049.jpg,neutral
303,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_39479463.jpg,sad
304,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_83581221.jpg,sad
305,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_92957189.jpg,happy
306,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_16420657.jpg,surprise
307,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_90431564.jpg,fear
308,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_65771354.jpg,neutral
309,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_33297389.jpg,fear
310,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_99088484.jpg,neutral
311,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_56457556.jpg,happy
312,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_65231205.jpg,angry
